TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Apartamento en venta,7802171,0 m²,51.0m²,3039215,2,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,154999965
Apartaestudio en venta,7743515,0 m²,36.0m²,7777777,3,1 a 8 años,0,0,0,ENGATIVA - Bogotá,Preguntar al anunciante,279999972
Apartamento en venta,7834229,0 m²,44.0m²,4318181,3,16 a 30 años,3,2,0,ENGATIVA - Bogotá,Preguntar al anunciante,189999964
Apartamento en venta,7711987,0 m²,37.0m²,7567567,3,menor a 1 año,1,1,1,engativa - Bogotá,Calle 76a 90-50,279999979
Casa en venta,10040921,0 m²,128.0m²,1835937,2,9 a 15 años,4,3,1,El palmar - Bogotá,Carrera 120 # 64C - 15,234999936
Casa en venta,7584617,80 m²,127.0m²,3031496,2,16 a 30 años,5,2,0,engativa - Bogotá,Preguntar al anunciante,384999992
Casa en venta,7849146,0 m²,217.0m²,1612903,0,Sin información,5,3,0,Engativa mirador 2 - Bogotá,Carrera 119b 63a-75,349999951
Apartamento en venta,7986365,54 m²,54.0m²,5387037,3,1 a 8 años,2,2,1,Engativá - Bogotá,Preguntar al anunciante,290899998
Casa en venta,10066114,190 m²,192.0m²,2500000,2,9 a 15 años,4,5,0,Tortigua - Bogotá,Carrera 125A # 64 - 4,480000000
Apartamento en venta,7700261,166 m²,166.0m²,9638554,6,1 a 8 años,3,5,2,engativa - Bogotá,Preguntar al anunciante,1599999964
Apartamento en venta,7781063,53 m²,59.0m²,4152542,4,más de 30 años,3,2,1,ENGATIVA - Bogotá,Preguntar al anunciante,244999978
Apartamento en venta,7870854,50 m²,53.0m²,3207547,2,9 a 15 años,3,2,0,Villa teresita - Bogotá,Preguntar al anunciante,169999991
Casa en venta,7461468,0 m²,80.41m²,3171247,2,1 a 8 años,3,3,0,Villa teresita - Bogotá,Preguntar al anunciante,254999971
Apartamento en venta,7309404,48 m²,48.0m²,3125000,2,Sin información,2,1,0,Engativá - Bogotá,Preguntar al anunciante,150000000
Apartamento en venta,7869156,50 m²,50.0m²,3420000,2,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,171000000
Apartamento en venta,7797949,0 m²,55.0m²,6181818,3,1 a 8 años,2,2,1,Engativá - Bogotá,Preguntar al anunciante,339999990
Apartamento en venta,6795604,58 m²,64.0m²,3281250,3,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,210000000
Apartamento en venta,7647129,62 m²,62.0m²,4838709,3,más de 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,299999958
Apartamento en venta,7554274,0 m²,61.0m²,3557377,3,más de 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,216999997
Apartamento en venta,5701905,51 m²,51.0m²,3039215,3,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,154999965
Apartamento en venta,7009007,0 m²,59.0m²,4152542,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,244999978
Apartamento en venta,7817287,59 m²,59.0m²,4067796,3,9 a 15 años,2,2,1,Engativá - Bogotá,Preguntar al anunciante,239999964
