TIPO_INMUEBLE,ESTRATO,ANTIGUEDAD,PARQUEADEROS,HABITACIONES,BAÑOS,ÁREA CONSTRUIDA M2,PRECIO M2 MMP
Apartamento en venta,2,16 a 30 años,NO,3,1,51.0,3.04
Apartamento en venta,3,16 a 30 años,NO,3,2,44.0,4.32
Apartamento en venta,3,menor a 1 año,SI,1,1,37.0,7.57
Casa en venta,2,9 a 15 años,SI,4,3,128.0,1.84
Casa en venta,2,16 a 30 años,NO,5,2,127.0,3.03
Apartamento en venta,3,1 a 8 años,SI,2,2,54.0,5.39
Casa en venta,2,9 a 15 años,NO,4,5,192.0,2.5
Apartamento en venta,6,1 a 8 años,SI,3,5,166.0,9.64
Apartamento en venta,4,más de 30 años,SI,3,2,59.0,4.15
Apartamento en venta,2,9 a 15 años,NO,3,2,53.0,3.21
Casa en venta,2,1 a 8 años,NO,3,3,80.40999991486,3.17
Apartamento en venta,2,Sin información,NO,2,1,48.0,3.12
Apartamento en venta,2,9 a 15 años,NO,3,2,50.0,3.42
Apartamento en venta,3,1 a 8 años,SI,2,2,55.0,6.18
Apartamento en venta,3,16 a 30 años,NO,3,1,64.0,3.28
Apartamento en venta,3,más de 30 años,SI,3,2,62.0,4.84
Apartamento en venta,3,más de 30 años,NO,3,2,61.0,3.56
Apartamento en venta,3,1 a 8 años,NO,3,2,51.0,3.04
Apartamento en venta,4,1 a 8 años,SI,3,2,59.0,4.15
Apartamento en venta,3,9 a 15 años,SI,2,2,59.0,4.07
Apartaestudio en venta,3,menor a 1 año,SI,1,1,39.0,6.79
Casa en venta,2,16 a 30 años,SI,6,3,155.0,2.13
Apartamento en venta,2,9 a 15 años,NO,2,2,42.0,3.76
Apartamento en venta,3,1 a 8 años,SI,3,2,56.0,5.54
Apartamento en venta,3,menor a 1 año,SI,1,1,36.0,7.44
Apartamento en venta,2,16 a 30 años,NO,2,1,47.0,3.4
Apartamento en venta,4,16 a 30 años,SI,3,2,87.0,5.29
Casa en venta,3,más de 30 años,SI,5,3,137.0,3.36
Casa en venta,3,más de 30 años,SI,4,2,81.0,3.46
Apartamento en venta,3,1 a 8 años,SI,2,2,50.0,6.2
Casa en venta,3,más de 30 años,NO,10,6,459.0,1.31
Apartaestudio en venta,3,menor a 1 año,NO,1,1,35.0,5.29
Casa en venta,2,9 a 15 años,NO,9,7,249.0,2.01
Apartamento en venta,3,1 a 8 años,SI,4,2,80.0,3.25
Casa en venta,2,16 a 30 años,SI,12,5,252.0,1.87
Casa en venta,3,más de 30 años,SI,4,3,147.0,3.27
Casa en venta,3,más de 30 años,SI,5,4,173.0,3.18
Casa en venta,3,16 a 30 años,SI,7,5,70.0,11.86
Casa en venta,3,16 a 30 años,NO,7,4,192.0,1.98
Casa en venta,2,16 a 30 años,NO,4,2,63.0,2.79
Casa en venta,2,Sin información,NO,2,2,104.0,2.79
Casa en venta,2,9 a 15 años,NO,2,1,57.0,3.67
Casa en venta,3,más de 30 años,SI,8,6,480.0,2.06
Casa en venta,2,16 a 30 años,NO,3,2,63.0,2.83
Casa en venta,3,16 a 30 años,NO,3,2,68.0,3.9
Apartamento en venta,2,9 a 15 años,NO,2,1,47.0,3.3
Casa en venta,3,16 a 30 años,NO,3,1,156.0,2.63
Casa en venta,2,16 a 30 años,SI,4,2,64.0,2.89
Casa en venta,2,16 a 30 años,NO,6,2,180.0,2.03
Apartamento en venta,3,16 a 30 años,NO,2,1,52.0,3.58
Apartamento en venta,2,1 a 8 años,NO,2,1,45.0,5.0
Casa en venta,3,Sin información,SI,4,2,210.0,2.43
Casa en venta,2,16 a 30 años,SI,9,5,216.0,2.18
Casa en venta,4,más de 30 años,SI,8,6,330.0,4.09
Casa en venta,3,16 a 30 años,NO,4,3,210.0,2.13
Casa en venta,3,16 a 30 años,SI,4,2,99.0,2.62
Apartamento en venta,2,9 a 15 años,NO,3,1,49.0,3.27
Casa en venta,2,16 a 30 años,NO,4,2,116.0,2.16
Casa en venta,2,9 a 15 años,SI,5,3,224.0,1.5
Casa en venta,2,16 a 30 años,SI,4,4,126.0,3.57
Apartamento en venta,4,1 a 8 años,SI,3,2,70.0,4.43
Apartamento en venta,4,9 a 15 años,SI,3,2,47.0,5.32
Apartamento en venta,3,16 a 30 años,NO,3,1,47.0,3.83
Casa en venta,2,16 a 30 años,SI,15,8,290.0,2.0
Casa en venta,2,9 a 15 años,SI,3,2,144.0,2.43
Apartamento en venta,2,1 a 8 años,NO,2,1,46.0,4.78
Casa en venta,2,más de 30 años,SI,8,4,240.0,1.88
Apartamento en venta,4,9 a 15 años,SI,3,2,65.0,4.29
Apartamento en venta,2,1 a 8 años,NO,2,1,32.0,4.69
Apartamento en venta,2,9 a 15 años,NO,2,1,47.0,3.36
Apartamento en venta,3,16 a 30 años,SI,3,2,64.0,3.44
Apartamento en venta,2,1 a 8 años,NO,3,2,66.0,2.71
Casa en venta,2,16 a 30 años,SI,12,4,264.0,1.33
Apartamento en venta,4,1 a 8 años,SI,3,2,93.0,4.59
Apartamento en venta,2,9 a 15 años,NO,3,2,48.0,3.12
Apartamento en venta,3,más de 30 años,NO,3,1,59.0,3.73
Apartamento en venta,4,16 a 30 años,SI,3,2,84.0,4.58
Apartamento en venta,3,más de 30 años,NO,1,1,29.0,5.34
Casa en venta,2,9 a 15 años,SI,3,2,36.0,8.06
Apartamento en venta,3,16 a 30 años,NO,2,1,42.0,5.95
Apartamento en venta,3,16 a 30 años,NO,3,1,55.0,3.45
